Method;Simplicity;Precision;Generalization
PrefixTree;0.00725645;1;0.0488449
Param 2;0.0871985;0.206694;0.999235
Method;Simplicity;Precision;Generalization
PrefixTree;0.00725645;1;0.0488449
Param 3;0.0208982;0.696043;0.999947
Method;Simplicity;Precision;Generalization
PrefixTree;0.00725645;1;0.0488449
Param 4;0.0112791;0.779383;0.999977
