Method;Simplicity;Precision;Generalization
PrefixTree;0.0538721;1;0.0881517
Param 2;0.205421;0.375108;0.999555
Method;Simplicity;Precision;Generalization
PrefixTree;0.0538721;1;0.0881517
Param 3;0.110345;0.647367;0.999861
Method;Simplicity;Precision;Generalization
PrefixTree;0.0538721;1;0.0881517
Param 4;0.0918953;0.684548;0.999892
